Lab code,Sample label,Site ID,Group,Month,F14C,F14C error absolute,AMS d13C
19122.1.1,DW-GF1-DIC14C-1,GF1,Drip_GF,Dec.21,0.8598,0.0058,-13.6
19123.1.1,DW-GF2-DIC14C-1 ,GF2,Drip_GF,Dec.21,0.9403,0.0061,-14.3
19124.1.1,DW-GR2-DIC14C-1,GR2,Drip_GR,Dec.21,0.9148,0.0061,-12.4
19125.1.1,DW-GR3-DIC14C-1,GR3,Drip_GR,Dec.21,0.9756,0.0077,-13.5
19126.1.1,DW-GR4-DIC14C-1,GR4,Drip_GR,Dec.21,0.9072,0.0059,-14.7
19127.1.1,DW-GR5-DIC14C-1,GR5,Drip_GR,Dec.21,0.8963,0.0068,-14.2
19128.1.1,DW-GR6-DIC14C-1,GR6,Drip_GR,Dec.21,0.8525,0.0071,-13.6
19129.1.1,DW-GF1-DIC14C-2,GF1,Drip_GF,Feb.22,0.8697,0.007,-12.6
19130.1.1,DW-GF3-DIC14C-2,GF3,Drip_GF,Feb.22,0.9456,0.0064,-12.7
19131.1.1,DW-GR3-DIC14C-2,GR3,Drip_GR,Feb.22,0.897,0.0078,-14.1
19132.1.1,DW-GR4-DIC14C-2,GR4,Drip_GR,Feb.22,0.8857,0.0072,-12.7
19133.1.1,DW-GR6-DIC14C-2-A,GR6,Drip_GR,Feb.22,0.8376,0.0063,-11.9
19134.1.1,DW-GR6-DIC14C-2-B,GR6,Drip_GR,Feb.22,0.8778,0.0081,-10.6
19135.1.1,DW-GF1-DIC14C-3,GF1,Drip_GF,Apr.22,0.8824,0.0051,-12.8
19136.1.1,DW-GF2-DIC14C-3,GF2,Drip_GF,Apr.22,0.9282,0.0069,-11.6
19137.1.1,DW-GF3-DIC14C-3,GF3,Drip_GF,Apr.22,0.9784,0.0062,-12.1
19138.1.1,DW-GR1-DIC14C-3,GR1,Drip_GR,Apr.22,0.8657,0.0052,-12.6
19139.1.1,DW-GR2-DIC14C-3,GR2,Drip_GR,Apr.22,0.8902,0.0054,-12.1
19140.1.1,DW-GR3-DIC14C-3,GR3,Drip_GR,Apr.22,0.9047,0.0057,-12.2
19141.1.1,DW-GR4-DIC14C-3,GR4,Drip_GR,Apr.22,0.9036,0.0056,-13.4
19142.1.1,DW-GR5-DIC14C-3,GR5,Drip_GR,Apr.22,0.8946,0.0062,-13.7
19143.1.1,DW-GR6-DIC14C-3,GR6,Drip_GR,Apr.22,0.898,0.0073,-13.6
20578.1.1,DW-GF1-DIC14C-7 ,GF1,Drip_GF,Dec.22,0.8598,0.0078,-14.1
20579.1.1,DW-GF2-DIC14C-7 ,GF2,Drip_GF,Dec.22,0.8761,0.006,-14.1
20580.1.1,DW-GF3-DIC14C-7 ,GF3,Drip_GF,Dec.22,0.9429,0.0055,-11.1
20581.1.1,DW-GR1-DIC14C-7 ,GR1,Drip_GR,Dec.22,0.8554,0.0068,-11.5
20582.1.1,DW-GR4-DIC14C-7 ,GR4,Drip_GR,Dec.22,0.8945,0.0069,-11.5
20583.1.1,DW-GR5-DIC14C-7 ,GR5,Drip_GR,Dec.22,0.8875,0.0067,-12.6
20584.1.1,DW-GR6-DIC14C-7 ,GR6,Drip_GR,Dec.22,0.7841,0.0067,-12.9
19144.1.1,DW-GF1-DIC14C-4,GF1,Drip_GF,Jun.22,0.8663,0.0075,-18
19145.1.1,DW-GF2-DIC14C-4,GF2,Drip_GF,Jun.22,0.9293,0.0082,-18.9
19146.1.1,DW-GF3-DIC14C-4,GF3,Drip_GF,Jun.22,0.9618,0.0075,-18.6
19147.1.1,DW-GR1-DIC14C-4,GR1,Drip_GR,Jun.22,0.8763,0.0095,-17.4
19148.1.1,DW-GR2-DIC14C-4,GR2,Drip_GR,Jun.22,0.9316,0.0073,-17.6
19149.1.1,DW-GR3-DIC14C-4,GR3,Drip_GR,Jun.22,0.8909,0.0078,-17.9
19150.1.1,DW-GR4-DIC14C-4,GR4,Drip_GR,Jun.22,0.8904,0.0083,-18.9
19151.1.1,DW-GR5-DIC14C-4,GR5,Drip_GR,Jun.22,0.8979,0.0075,-17.9
19152.1.1,DW-GR6-DIC14C-4,GR6,Drip_GR,Jun.22,0.9203,0.0082,-19
19680.1.1,DW-GF1-DIC14C-5,GF1,Drip_GF,Aug.22,0.8639,0.0089,-17.1
19681.1.1,DW-GF2-DIC14C-5,GF2,Drip_GF,Aug.22,0.9168,0.0083,-19.8
19683.1.1,DW-GR1-DIC14C-5,GR1,Drip_GR,Aug.22,0.8656,0.0063,-8.9
19684.1.1,DW-GR2-DIC14C-5,GR2,Drip_GR,Aug.22,0.9141,0.0073,-18.3
19685.1.1,DW-GR4-DIC14C-5,GR4,Drip_GR,Aug.22,0.9261,0.0076,-19.2
19686.1.1,DW-GR5-DIC14C-5,GR5,Drip_GR,Aug.22,0.9062,0.007,-19.5
19687.1.1,DW-GR6-DIC14C-5,GR6,Drip_GR,Aug.22,0.9339,0.0076,-20.8
20034.1.1,DW-GF1-DIC14C-6 ,GF1,Drip_GF,Oct.22,0.8395,0.006,-9.4
20035.1.1,DW-GF2-DIC14C-6 ,GF2,Drip_GF,Oct.22,0.94,0.0087,-20.3
20036.1.1,DW-GF3-DIC14C-6 ,GF3,Drip_GF,Oct.22,0.9535,0.0082,-20.8
20037.1.1,DW-GR1-DIC14C-6 ,GR1,Drip_GR,Oct.22,0.8617,0.0072,-17.2
20038.1.1,DW-GR2-DIC14C-6 ,GR2,Drip_GR,Oct.22,0.8814,0.0066,-22.6
20040.1.1,DW-GR4-DIC14C-6 ,GR4,Drip_GR,Oct.22,0.9066,0.0074,-18.7
20041.1.1,DW-GR5-DIC14C-6 ,GR5,Drip_GR,Oct.22,0.8855,0.007,-18.3
20042.1.1,DW-GR6-DIC14C-6 ,GR6,Drip_GR,Oct.22,0.9081,0.0082,-19.1
