Lab code,sample label,Site ID,Group,Month,F14C,F14C error absolute,uncalibrated age (y),age error (y),AMS δ13C (‰)
138285.1.1,DW-GF2-DOM-1,GF2,Drip_GF,Dec.21,0.91,0.009,739,78,-27.7
138286.1.1,DW-GR1-DOM-1,GR1,Drip_GR,Dec.21,0.742,0.036,2108,106,-29
138287.1.1,DW-GR2-DOM-1,GR2,Drip_GR,Dec.21,0.763,0.011,2145,106,-25.5
138288.1.1,DW-GR2-DOM-1b,GR2,Drip_GR,Dec.21,0.686,0.017,2847,113,-24.5
138289.1.1,DW-GR3-DOM-1,GR3,Drip_GR,Dec.21,0.874,0.011,1068,93,-24
138290.1.1,DW-GR3-DOM-1b,GR3,Drip_GR,Dec.21,0.758,0.016,2099,98,-25.5
138292.1.1,DW-GR5-DOM-1,GR5,Drip_GR,Dec.21,0.623,0.009,3763,116,-22.9
138293.1.1,DW-GR6-DOM-1,GR6,Drip_GR,Dec.21,0.727,0.013,2529,138,-13
138294.1.1,RW-Wier-DOM-1,RW,River,Dec.21,0.964,0.034,181,68,-30.4
138295.1.1,DW-GF1-DOM-2,GF1,Drip_GF,Feb.22,0.761,0.027,1987,101,-25.9
138296.1.1,DW-GF2-DOM-2,GF2,Drip_GF,Feb.22,0.958,0.047,197,67,-33
138297.1.1,DW-GF3-DOM-2,GF3,Drip_GF,Feb.22,0.938,0.026,416,74,-26.7
138298.1.1,DW-GR1-DOM-2,GR1,Drip_GR,Feb.22,0.69,0.017,2830,144,-4.6
138299.1.1,DW-GR2-DOM-2,GR2,Drip_GR,Feb.22,0.703,0.017,2686,126,-12.4
138300.1.1,DW-GR3-DOM-2,GR3,Drip_GR,Feb.22,0.811,0.01,1644,87,-23.8
138301.1.1,DW-GR4-DOM-2,GR4,Drip_GR,Feb.22,0.65,0.014,3353,144,-6.4
138302.1.1,DW-GR5-DOM-2,GR5,Drip_GR,Feb.22,0.663,0.011,3264,131,-15.7
138303.1.1,DW-GR6-DOM-2,GR6,Drip_GR,Feb.22,0.718,0.014,2640,148,-7.1
138304.1.1,DW-GF1-DOM-3,GF1,Drip_GF,Apr.22,0.771,0.009,2062,85,-25.7
138305.1.1,DW-GF3-DOM-3,GF3,Drip_GF,Apr.22,0.953,0.009,374,69,-28.5
138306.1.1,DW-GR1-DOM-3,GR1,Drip_GR,Apr.22,0.667,0.159,2451,127,-11.2
138307.1.1,DW-GR4-DOM-3,GR4,Drip_GR,Apr.22,0.67,0.053,2732,82,-27.9
138308.1.1,DW-GR6-DOM-3,GR6,Drip_GR,Apr.22,0.766,0.017,2020,102,-22.7
138309.1.1,DW-GR5-DOM-5,GR5,Drip_GR,Aug.22,0.63,0.065,3592,764,-13.7
140746.1.1,DW-GR2-DOM-3,GR2,Drip_GR,Apr.22,0.164,0.005,14529,258,-11.24
140747.1.1,DW-GF2-DOM-4,GF2,Drip_GF,Jun.22,0.225,0.004,11985,154,-8.73
140748.1.1,DW-GR2-DOM-4,GR2,Drip_GR,Jun.22,0.104,0.004,18177,315,22.51
140749.1.1,DW-GR5-DOM-4,GR5,Drip_GR,Jun.22,0.111,0.003,17648,226,0.21
140750.1.1,DW-GR6-DOM-4,GR6,Drip_GR,Jun.22,0.181,0.003,13753,120,-14.25
140751.1.1,RW-Weir-DOM-4,RW,River,Jun.22,0.369,0.004,8008,94,-16.83
140752.1.1,DW-GF1-DOM-5,GF1,Drip_GF,Aug.22,0.248,0.003,11203,99,-14.28
140753.1.1,DW-GF2-DOM-5,GF2,Drip_GF,Aug.22,0.316,0.003,9266,88,-14.4
140755.1.1,DW-GR1-DOM-5,GR1,Drip_GR,Aug.22,0.181,0.003,13751,123,-26.38
140756.1.1,DW-GR2-DOM-5,GR2,Drip_GR,Aug.22,0.178,0.003,13878,135,-25.03
