Month,Site.ID,Group,Mg/Ca Ratio,Sr/Ca Ratio,ln(Mg/Ca),ln(Sr/Ca)
01.02.22,GF1,Drip_GF,0.029865705,0.001403087,-3.511044462,-6.569080619
01.02.22,GF2,Drip_GF,0.015631055,0.000645911,-4.158495612,-7.344848245
01.02.22,GF3,Drip_GF,0.042422045,0.001631617,-3.160087124,-6.418183662
01.02.22,GR1,Drip_GR,0.06605662,0.002573635,-2.717243027,-5.96243616
01.02.22,GR2,Drip_GR,0.011102403,0.00039185,-4.500593677,-7.844632644
01.02.22,GR3,Drip_GR,0.008944929,0.000323311,-4.716668454,-8.036896773
01.02.22,GR4,Drip_GR,0.032175399,0.001138952,-3.436553136,-6.777646594
01.02.22,GR5,Drip_GR,0.006286612,0.000285755,-5.069332927,-8.16037538
01.02.22,GR6,Drip_GR,0.00934466,0.000485437,-4.672950201,-7.630461262
01.02.22,SW-03,Soil,0.030267753,0.000582072,-3.497672384,-7.448916103
01.02.22,SW-05,Soil,0.025433526,0.000693642,-3.671687054,-7.273555131
01.02.22,SW-06,Soil,0.018312102,0.000530786,-4.000193131,-7.541152455
01.04.22,GF1,Drip_GF,0.036978341,0.001848917,-3.297422909,-6.293155183
01.04.22,GF2,Drip_GF,0.046635071,0.001516588,-3.065402422,-6.491292417
01.04.22,GF3,Drip_GF,0.040942323,0.001462226,-3.195590951,-6.527795461
01.04.22,GR1,Drip_GR,0.07916796,0.002794163,-2.536183604,-5.880222572
01.04.22,GR2,Drip_GR,0.013498313,0.000421822,-4.305190586,-7.770926489
01.04.22,GR3,Drip_GR,0.022781514,0.0006509,-3.781805843,-7.337153904
01.04.22,GR4,Drip_GR,0.038228315,0.001318218,-3.264178799,-6.631474629
01.04.22,GR5,Drip_GR,0.005909925,0.000254738,-5.131122206,-8.275274485
01.04.22,GR6,Drip_GR,0.013230074,0.000645369,-4.325262691,-7.345687577
01.04.22,SW-01,Soil,0.034625045,0.000717618,-3.363178019,-7.239573847
01.04.22,SW-05,Soil,0.023080151,0.000629459,-3.768782292,-7.370650369
01.06.22,GF1,Drip_GF,0.035426389,0.001697073,-3.340298271,-6.378850542
01.06.22,GF2,Drip_GF,0.045081967,0.001603706,-3.099272952,-6.435437864
01.06.22,GF3,Drip_GF,0.042950185,0.001584228,-3.147714327,-6.447657975
01.06.22,GR1,Drip_GR,0.075023155,0.002778635,-2.589958476,-5.885795342
01.06.22,GR2,Drip_GR,0.025174477,0.000747757,-3.681924632,-7.19843286
01.06.22,GR3,Drip_GR,0.030271669,0.000776197,-3.497543026,-7.161104672
01.06.22,GR4,Drip_GR,0.045989598,0.001642486,-3.079340047,-6.411544558
01.06.22,GR5,Drip_GR,0.00772619,0.00028883,-4.863139472,-8.149673946
01.06.22,GR6,Drip_GR,0.016930274,0.000891067,-4.078651898,-7.023090878
01.06.22,RW,River,0.067867398,0.001566171,-2.690199514,-6.459121675
01.08.22,GF1,Drip_GF,0.034633083,0.001695326,-3.362945896,-6.379880377
01.08.22,GF3,Drip_GF,0.038174415,0.001357313,-3.265589761,-6.602248622
01.08.22,GR1,Drip_GR,0.077758319,0.002802102,-2.55414974,-5.87738558
01.08.22,GR2,Drip_GR,0.023249599,0.00080171,-3.761467388,-7.128763218
01.08.22,GR3,Drip_GR,0.028745163,0.000829187,-3.549285767,-7.095064377
01.08.22,GR4,Drip_GR,0.015029478,0.000581251,-4.197741826,-7.450328708
