Date,Discharge
01/12/2021,42
02/12/2021,132
03/12/2021,105
04/12/2021,351
05/12/2021,342
06/12/2021,275
07/12/2021,217
08/12/2021,178
09/12/2021,240
10/12/2021,245
11/12/2021,282
12/12/2021,225
13/12/2021,159
14/12/2021,124
15/12/2021,89
16/12/2021,69
17/12/2021,63
18/12/2021,55
19/12/2021,51
20/12/2021,46
21/12/2021,43
22/12/2021,39
23/12/2021,38
24/12/2021,37
25/12/2021,67
26/12/2021,200
27/12/2021,200
28/12/2021,190
29/12/2021,250
30/12/2021,255
31/12/2021,173
01/01/2022,110
02/01/2022,83
03/01/2022,70
04/01/2022,74
05/01/2022,269
06/01/2022,181
07/01/2022,110
08/01/2022,94
09/01/2022,259
10/01/2022,240
11/01/2022,163
12/01/2022,110
13/01/2022,85
14/01/2022,75
15/01/2022,66
16/01/2022,57
17/01/2022,50
18/01/2022,47
19/01/2022,45
20/01/2022,42
21/01/2022,39
22/01/2022,37
23/01/2022,36
24/01/2022,35
25/01/2022,34
26/01/2022,33
27/01/2022,32
28/01/2022,30
29/01/2022,30
30/01/2022,30
31/01/2022,35
01/02/2022,31
02/02/2022,170
03/02/2022,115
04/02/2022,73
05/02/2022,60
06/02/2022,53
07/02/2022,106
08/02/2022,75
09/02/2022,66
10/02/2022,58
11/02/2022,238
12/02/2022,178
13/02/2022,102
14/02/2022,79
15/02/2022,85
16/02/2022,101
17/02/2022,154
18/02/2022,153
19/02/2022,200
20/02/2022,154
21/02/2022,156
22/02/2022,178
23/02/2022,142
24/02/2022,105
25/02/2022,86
26/02/2022,73
27/02/2022,68
28/02/2022,61
01/03/2022,56
02/03/2022,53
03/03/2022,50
04/03/2022,46
05/03/2022,43
06/03/2022,41
07/03/2022,39
08/03/2022,38
09/03/2022,36
10/03/2022,35
11/03/2022,35
12/03/2022,33
13/03/2022,33
14/03/2022,31
15/03/2022,32
16/03/2022,30
17/03/2022,29
18/03/2022,29
19/03/2022,28
20/03/2022,29
21/03/2022,27
22/03/2022,27
23/03/2022,27
24/03/2022,27
25/03/2022,26
26/03/2022,26
27/03/2022,25
28/03/2022,25
29/03/2022,26
30/03/2022,27
31/03/2022,41
01/04/2022,41
02/04/2022,38
03/04/2022,32
04/04/2022,47
05/04/2022,50
06/04/2022,40
07/04/2022,47
08/04/2022,445
09/04/2022,334
10/04/2022,276
11/04/2022,257
12/04/2022,131
13/04/2022,71
14/04/2022,60
15/04/2022,53
16/04/2022,49
17/04/2022,46
18/04/2022,44
19/04/2022,42
20/04/2022,40
21/04/2022,38
22/04/2022,37
23/04/2022,45
24/04/2022,55
25/04/2022,218
26/04/2022,288
27/04/2022,173
28/04/2022,87
29/04/2022,68
30/04/2022,59
01/05/2022,53
02/05/2022,49
03/05/2022,45
04/05/2022,43
05/05/2022,44
06/05/2022,40
07/05/2022,37
08/05/2022,35
09/05/2022,34
