Sample Name,Site ID,Month,Corrected TOC mg/L,Stdev,Group,,
SW-05-DOM-1,SW-05,Dec.21,16.53,0.11,Soil,,
SW-01-DOC-1,SW-01,Dec.21,10.6,0.02,Soil,,
SW-02-DOC-1,SW-02,Dec.21,16.82,0.18,Soil,,
SW-03-DOM-1,SW-03,Dec.21,4.35,0.09,Soil,,
SW-04-DOM-1,SW-04,Dec.21,16.16,0.08,Soil,,
SW-06-DOM-1,SW-06,Dec.21,9.11,0.09,Soil,,
DW-GR1-DOC-1,GR1,Dec.21,0.31,0.03,Drip_GR,,
DW-GR2-DOM-1,GR2,Dec.21,0.17,0.01,Drip_GR,,
DW-GR2-DOM-1B,GR2,Dec.21,0.17,0.04,Drip_GR,,
DW-GR3-DOM-1,GR3,Dec.21,0.58,0.04,Drip_GR,,
DW-GR3-DOM-1-1,GR3,Dec.21,0.28,0,Drip_GR,,
DW-GR5-DOM-1,GR5,Dec.21,0.69,0,Drip_GR,,
DW-GR6-DOM-1,GR6,Dec.21,0.18,0.02,Drip_GR,,
DW-GF1-DOM-1,GF1,Dec.21,0.32,0.02,Drip_GF,,
DW-GF2-DOC-1,GF2,Dec.21,0.64,0.02,Drip_GF,,
RW-Weir-DOM-1,RW,Dec.21,1.65,0.05,River,,
DW-GR1-DOM2,GR1,Feb.22,1.54,0.1,Drip_GR,,
DW-GR2-DOM2,GR2,Feb.22,0.97,0.06,Drip_GR,,
DW-GR3-DOM2,GR3,Feb.22,1.32,0.08,Drip_GR,,
DW-GR4-DOM2,GR4,Feb.22,1.26,0.06,Drip_GR,,
DW-GR6-DOM2,GR6,Feb.22,0.82,0.02,Drip_GR,,
DW-GF1-DOM2,GF1,Feb.22,1.45,0.03,Drip_GF,,
DW-GF2-DOM2,GF2,Feb.22,1.91,0.06,Drip_GF,,
DW-GF3-DOM2,GF3,Feb.22,2.01,0.04,Drip_GF,,
SW-02-DOM2,SW-02,Feb.22,3.14,0.05,Soil,,
SW-03-DOM2,SW-03,Feb.22,3.62,0.1,Soil,,
SW-05-DOM2,SW-05,Feb.22,13.39,0.04,Soil,,
DW-GF1-DOM-3,GF1,Apr.22,1.5,0.11,Drip_GF,,
DW-GF2-DOM-3,GF2,Apr.22,1.55,0.05,Drip_GF,,
DW-GF3-DOM-3,GF3,Apr.22,1.73,0.05,Drip_GF,,
DW-GR1-DOM-3,GR1,Apr.22,1.09,0.02,Drip_GR,,
DW-GR2-DOM-3,GR2,Apr.22,0.79,0.14,Drip_GR,,
DW-GR3-DOM-3,GR3,Apr.22,1.1,0.05,Drip_GR,,
DW-GR4-DOM-3,GR4,Apr.22,1.03,0.01,Drip_GR,,
DW-GR5-DOM-3,GR5,Apr.22,1.1,0.03,Drip_GR,,
DW-GR6-DOM-3,GR6,Apr.22,0.77,0.01,Drip_GR,,
SW-02-DOM-3,SW-02,Apr.22,3.17,0.04,Soil,,
DW-GR1-DOM-4,GR1,Jun.22,0.14,0.1,Drip_GR,,
DW-GR2-DOM-4,GR2,Jun.22,,0.06,Drip_GR,50.44,"outlier, not considered"
DW-GR4-DOM-4,GR4,Jun.22,0.62,0.19,Drip_GR,,
DW-GR5-DOM-4,GR5,Jun.22,0.4,0,Drip_GR,,
DW-GR6-DOM-4,GR6,Jun.22,0,0,Drip_GR,,
DW-GF3-DOM-4,GF3,Jun.22,0.68,0.01,Drip_GF,,
RW-Weir-DOM-4,RW,Jun.22,0.92,0.02,River,,
DW-GF2-DOM-4,GF2,Jun.22,0.92,0.03,Drip_GF,,
DW-GF1-DOM-4,GF1,Jun.22,0.4,0.05,Drip_GF,,
DW-GR4-DOM-4,GR4,Jun.22,0.63,0.04,Drip_GR,,
DW-GF1-DOM-5,GF1,Aug.22,0.33,0.06,Drip_GF,,
DW-GF3-DOM-5,GF3,Aug.22,0.71,0.01,Drip_GF,,
DW-GR1-DOM-5,GR1,Aug.22,0.06,0.03,Drip_GR,,
DW-GR2-DOM-5,GR2,Aug.22,0.11,0.01,Drip_GR,,
DW-GR4-DOM-5,GR4,Aug.22,0.13,0,Drip_GR,,
DW-GR5-DOM-5,GR5,Aug.22,0.02,0.01,Drip_GR,,
DW-GR6-DOM-5,GR6,Aug.22,0,0.02,Drip_GR,,
RW-Weir-DOM-5,RW,Aug.22,2.66,0.02,River,,
DW-GF1-DOM-6,GF1,Oct.22,0.62,0.01,Drip_GF,,
DW-GF3-DOM-6,GF3,Oct.22,0.81,0.02,Drip_GF,,
DW-GR1-DOM-6,GR1,Oct.22,0.55,0,Drip_GR,,
DW-GR2-DOM-6,GR2,Oct.22,0.89,0.12,Drip_GR,,
DW-GR3-DOM-6,GR3,Oct.22,0.81,0.03,Drip_GR,,
DW-GR4-DOM-6,GR4,Oct.22,0.78,0,Drip_GR,,
DW-GR5-DOM-6,GR5,Oct.22,0.7,0,Drip_GR,,
DW-GR6-DOM-6,GR6,Oct.22,0.5,0.02,Drip_GR,,
RW-Weir-DOM-6,RW,Oct.22,1.93,0.03,River,,
SW-02-DOM-6,SW-02,Oct.22,3.54,0,Soil,,
SW-06-DOM-6,SW-06,Oct.22,6.98,0.02,Soil,,
DW-GF1-DOC-7,GF1,Dec.22,1.13,0,Drip_GF,,
DW-GF2-DOC-7,GF2,Dec.22,1.58,0.02,Drip_GF,,
DW-GF3-DOC-7,GF3,Dec.22,1.56,0,Drip_GF,,
DW-GR1-DOC-7,GR1,Dec.22,0.7,0.02,Drip_GR,,
DW-GR3-DOC-7,GR3,Dec.22,0.79,0.09,Drip_GR,,
DW-GR4-DOC-7,GR4,Dec.22,0.73,0.07,Drip_GR,,
DW-GR5-DOC-7,GR5,Dec.22,0.6,0.01,Drip_GR,,
RW-Weir-DOM-7,RW,Dec.22,1.22,0,River,,
SW-O6-DOM-7,SW-06,Dec.22,6.49,0.03,Soil,,
DW-GF1-DOC-8,GF1,Feb.23,0.42,0.01,Drip_GF,,
DW-GF2-DOC-8,GF2,Feb.23,1.01,0.01,Drip_GF,,
DW-GF3-DOC-8,GF3,Feb.23,1.12,0.02,Drip_GF,,
DW-GR1-DOC-8,GR1,Feb.23,0.2,0.02,Drip_GR,,
DW-GR2-DOC-8,GR2,Feb.23,0.17,0,Drip_GR,,
DW-GR3-DOC-8,GR3,Feb.23,0.7,0.01,Drip_GR,,
DW-GR4-DOC-8,GR4,Feb.23,0.48,0.01,Drip_GR,,
DW-GR6-DOC-8,GR6,Feb.23,0.28,0.03,Drip_GR,,
DW-RW-DOC-8,RW,Feb.23,0.77,0.17,River,,
SW-02-DOC-8,SW-02,Feb.23,2.66,0,Soil,,
SW-03-DOC-8,SW-03,Feb.23,1.51,0.03,Soil,,
DW-GR4-DOM-9,GR4,Apr.23,0.88,0.01,Drip_GR,,
DW-GR2-DOM-9,GR2,Apr.23,1.15,0.02,Drip_GR,,
DW-GR3-DOM-9,GR3,Apr.23,1.06,0.1,Drip_GR,,
DW-GF3-DOM-9,GF3,Apr.23,1.58,0.06,Drip_GF,,
DW-GF2-DOM-9,GF2,Apr.23,1.42,0.07,Drip_GF,,
DW-GR6-DOM-9,GR6,Apr.23,0.51,0.04,Drip_GR,,
DW-GR5-DOM-9,GR5,Apr.23,0.51,0.01,Drip_GR,,
SW-o6-DOM-9,SW-06,Apr.23,6.02,0.06,Soil,,
DW-GF1-DOM-9,GF1,Apr.23,0.87,0.02,Drip_GF,,
RW-Weir-DOM-9,RW,Apr.23,1.58,0.05,River,,
DW-GR1-DOM-9,GR1,Apr.23,0.68,0.04,Drip_GR,,
