Sample Name,Month,Site ID,Group,23 -> 23  Na  [ He ] ,Conc. RSD,Na RSD,25 -> 25  Mg  [ H2 ] ,Conc. RSD,Mg RSD,27 -> 27  Al  [ No Gas ] ,Conc. RSD,Al RSD,28 -> 44  Si  [ O2 ] ,Conc. RSD,Si RSD,31 -> 47  P  [ O2 ] ,Conc. RSD,P RSD,32 -> 48  S  [ O2 ],Conc. RSD,S RSD,39 -> 39  K  [ H2 ] ,Conc. RSD,K RSD,43 -> 43  Ca  [ No Gas ] ,Conc. RSD,Ca RSD,53 -> 53  Cr  [ No Gas ],Conc. RSD,Cr RSD,55 -> 55  Mn  [ H2 ],Conc. RSD,Mn RSD,66 -> 66  Zn  [ No Gas ] ,Conc. RSD,Zn RSD,86 -> 86  Sr  [ No Gas ] ,Conc. RSD,Sr RSD,138 -> 138  Ba  [ No Gas ] ,Conc. RSD,Ba RSD,56 -> 56  Fe  [ H2 ],Conc. RSD,Fe RSD
DW-GF1-DOM-2,Feb.22,GF1,Drip,1.91,1.02,0.02,1.49,0.99,0.01,1.59,0.79,0.01,5.98,2.69,0.16,0.01,7.38,0,2.34,1.12,0.03,0.58,0.38,0,49.89,0.97,0.48,0,15.15,0,0,2.66,0,0.03,1.13,0,0.07,0.67,0,0.01,0.83,0,0,2.63,0
DW-GF2-DOM-2,Feb.22,GF2,Drip,2.81,1.68,0.05,2.42,1.5,0.04,0.68,0.86,0.01,5.25,0.95,0.05,0.48,1.11,0.01,4.2,2.74,0.12,1.07,1.08,0.01,154.82,0.17,0.26,0,23.5,0,0,5.06,0,0.02,1.42,0,0.1,2.49,0,0.01,1.09,0,0.01,1.25,0
DW-GF3-DOM-2,Feb.22,GF3,Drip,2.9,0.92,0.03,2.34,0.12,0,1.61,1.88,0.03,4.99,0.81,0.04,0,17.09,0,3.2,0.75,0.02,1.33,0.55,0.01,55.16,2.87,1.58,0,34.27,0,0,0.4,0,0.01,6.12,0,0.09,2.25,0,0.01,2.79,0,0,4.31,0
DW-GR1-DOM-2,Feb.22,GR1,Drip,2.78,1.19,0.03,2.31,1.94,0.04,2.28,1.16,0.03,9.14,3.14,0.29,0.02,6.08,0,2.09,0.41,0.01,0.3,2.62,0.01,34.97,1.44,0.5,0,3.34,0,0,1.67,0,0.01,2.94,0,0.09,0.78,0,0.02,0.58,0,0.01,1.11,0
DW-GR2-DOM-2,Feb.22,GR2,Drip,2.86,0.49,0.01,0.85,1.15,0.01,0.8,1.02,0.01,7.15,1.29,0.09,3.07,0.25,0.01,4,1.74,0.07,0.37,1.47,0.01,76.56,1.43,1.09,0,13.07,0,0,0.64,0,0.02,2.26,0,0.03,1.51,0,0.01,0.24,0,0,1,0
DW-GR3-DOM-2,Feb.22,GR3,Drip,10.93,0.56,0.06,0.83,1.45,0.01,1.64,0.68,0.01,4,1.77,0.07,0.36,0.74,0,3.51,1.42,0.05,0.36,2.17,0.01,92.79,0.45,0.42,0,31.04,0,0,3.75,0,0.02,4.69,0,0.03,1.51,0,0.01,0.1,0,0,4.51,0
DW-GR4-DOM-2,Feb.22,GR4,Drip,13.84,0.9,0.12,1.13,0.59,0.01,4.28,0.42,0.02,3.87,2.15,0.08,0.17,1.76,0,3.87,1.95,0.08,0.61,1.43,0.01,35.12,0.59,0.21,0,15.4,0,0,2.92,0,0.01,4.56,0,0.04,1.13,0,0.01,0.37,0,0.02,0.74,0
DW-GR5-DOM-2,Feb.22,GR5,Drip,28.45,0.86,0.24,0.88,0.99,0.01,2.43,0.59,0.01,3.83,2.5,0.1,0.01,2.57,0,2.85,0.28,0.01,1.24,1.19,0.01,139.98,1.56,2.18,0,3.31,0,0,1.1,0,0.09,0.29,0,0.04,2.21,0,0.02,1.28,0,0.14,0.94,0
DW-GR6-DOM-2,Feb.22,GR6,Drip,2.5,0.99,0.02,0.77,1.18,0.01,1.22,0.17,0,5.8,0.67,0.04,0.27,0.44,0,4.55,2.11,0.1,0.59,1.25,0.01,82.4,1.67,1.38,0,3.68,0,0,4.31,0,0.11,0.26,0,0.04,0.82,0,0.01,0.83,0,0,2.52,0
SW-O2-DOM-2,Feb.22,SW-02,Soil,1.47,0.63,0.01,0.24,2.77,0.01,0.79,2.37,0.02,9.91,1.19,0.12,0.02,5.13,0,1.91,0.35,0.01,0.26,1.51,0,3.69,1.14,0.04,0,21.24,0,0.01,1.98,0,0.04,2.03,0,0,3,0,0.03,1.68,0,0.01,0.5,0
SW-O3-DOM-2,Feb.22,SW-03,Soil,1.68,0.84,0.01,1.04,1.25,0.01,2.44,0.73,0.02,6.01,0.91,0.05,0.03,4.31,0,0.68,0.74,0.01,1.1,1.06,0.01,34.36,1.28,0.44,0,37.61,0,0,1.7,0,0.02,0.49,0,0.02,0.67,0,0.03,0.52,0,0,1.76,0
SW-O5-DOM-2,Feb.22,SW-05,Soil,0.95,1.68,0.02,1.1,1.03,0.01,2.2,0.87,0.02,8.35,1.69,0.14,2.66,0.48,0.01,1.9,0.89,0.02,0.29,0.37,0,43.25,0.66,0.29,0,16.2,0,0,0.4,0,0.04,1.13,0,0.03,1.79,0,0.04,0.58,0,0.01,0.3,0
SW-O6-DOM-2,Feb.22,SW-06,Soil,0.76,1.05,0.01,0.69,1.46,0.01,23.7,1.39,0.33,11.31,2.29,0.26,0.09,2.44,0,0.22,2.7,0.01,0.21,1.24,0,37.68,1.77,0.67,0,5.91,0,0.01,0.6,0,0.03,1.94,0,0.02,2.19,0,0.1,2.3,0,0.03,0.91,0
DW-GF1-DOM-3,Apr.22,GF1,Drip,1.85,0.21,0,1.4,0.24,0,0.7,0.21,0,6.06,1.85,0.11,0.03,3.05,0,2.17,0.61,0.01,0.6,1.05,0.01,37.86,0.65,0.25,0,28.09,0,0,1.3,0,0.07,0.99,0,0.07,1.82,0,0.01,0.38,0,0,1.94,0
DW-GF2-DOM-3,Apr.22,GF2,Drip,3.16,0.25,0.01,2.46,0.5,0.01,0.92,1.01,0.01,5.06,1.11,0.06,0.07,2.12,0,3.21,0.31,0.01,1.05,0.23,0,52.75,0.8,0.42,0,7.64,0,0,0.55,0,0.05,0.92,0,0.08,0.94,0,0.01,1.34,0,0,3.2,0
DW-GF3-DOM-3,Apr.22,GF3,Drip,3.09,0.56,0.02,2.52,0.96,0.02,12.48,0.52,0.06,4.95,1.74,0.09,0.19,2.5,0,3.18,1.81,0.06,1.19,0.29,0,61.55,1.16,0.71,0,25.83,0,0,1.74,0,0.07,0.95,0,0.09,0.2,0,0.01,0.6,0,0.02,1.57,0
DW-GR1-DOM-3,Apr.22,GR1,Drip,2.95,0.17,0.01,2.55,0.3,0.01,1.04,1.36,0.01,9.63,0.92,0.09,0.01,8.19,0,2.09,0.66,0.01,0.25,0.48,0,32.21,1.81,0.58,0,3.28,0,0,1.2,0,0.01,1.71,0,0.09,1.78,0,0.02,1.5,0,0,1.58,0
DW-GR2-DOM-3,Apr.22,GR2,Drip,2.88,0.93,0.03,0.96,1.38,0.01,1.4,1.11,0.02,7.14,0.88,0.06,0.03,6.13,0,3.99,1.06,0.04,0.28,0.43,0,71.12,1.31,0.93,0,6.73,0,0,1.94,0,0.01,2.64,0,0.03,3.66,0,0.01,1.77,0,0,4.9,0
DW-GR3-DOM-3,Apr.22,GR3,Drip,10.31,0.36,0.04,1.05,1.91,0.02,2.46,1.24,0.03,4.28,0.82,0.04,0.03,6.97,0,4.63,2.61,0.12,0.37,0.85,0,46.09,2.53,1.17,0,10.34,0,0,0.56,0,0.02,1.47,0,0.03,0.83,0,0.01,1.05,0,0.01,0.89,0
DW-GR4-DOM-3,Apr.22,GR4,Drip,14.15,1.11,0.16,1.45,0.89,0.01,3.4,0.39,0.01,4.3,3.05,0.13,0.06,1.39,0,4.45,0.37,0.02,0.76,1.33,0.01,37.93,0.76,0.29,0,27.21,0,0,2.23,0,0.02,1.67,0,0.05,1.26,0,0.01,1,0,0.01,2.95,0
